id,title,picture,title_en,title_ja,start_date,end_date,synopsis,mean_score,rank,popularity,nsfw,media_type,status,genres,num_episodes,source,average_episode_duration_seconds,rating,studios,num_list_users,num_scoring_users,watching,completed,on_hold,dropped,plan_to_watch
22037,Sore Ike! Anpanman: Dokin-chan no Dokidoki Calendar,https://cdn.myanimelist.net/images/anime/9/57821.jpg,,それいけ！アンパンマン ドキンちゃんのドキドキカレンダー,1991-07-20,1991-07-20,,,15298,18878,False,movie,finished_airing,"Comedy,Fantasy,Kids,Sci-Fi",1,,3120,pg,,426,101,26,172,17,102,109
22039,Mou Hasamazu ni wa Irarenai♥: Hoshi ni Onegai shitara Konnani Okkiku Nacchatta!,https://cdn.myanimelist.net/images/anime/10/83079.webp,Erotic Encounter of the Alien Kind,もう挟まずにはいられない♥ ～星にお願いしたらこんなにおっきくなっちゃった！～,2014-02-28,2014-02-28,"An alien crashes into Amano and while fixing her body, makes her smarter, more athletic, prettier, and increases her bust size about five cups by accident. The alien then requests to monitor her, since he came to Earth to monitor humans anyway, and doesn't really do anything to her until she sees Sugiuchi and Amano get horny. The alien then manipulates Amano's body and makes her start having sex with Sugiuchi.",6.71,,6952,True,ova,finished_airing,Hentai,1,manga,1201,rx,Peak Hunt,10416,4426,912,6502,453,341,2207
22043,Fairy Tail (2014),https://cdn.myanimelist.net/images/anime/3/60551.webp,Fairy Tail Series 2,FAIRY TAIL（フェアリーテイル）,2014-04-05,2016-03-26,"The Grand Magic Games reaches its climax following Natsu Dragneel and Gajeel Redfox's stunning victory over Sting Eucliffe and Rogue Cheney of the Sabertooth guild. This success pushes the Fairy Tail guild closer to being crowned the overall champions, but obtaining victory is not the only challenge they face. A mystery still surrounds a hooded stranger and the ominous Eclipse Gate, leaving more questions than answers.  More crazy adventures are on the horizon for Fairy Tail as their destructive antics and joyful rowdiness continue unabated. Their greatest trial is quickly approaching, but united as a family, the guild will always be ready to face any threat that comes their way.  [Written by MAL Rewrite]",7.66,1482,167,False,tv,finished_airing,"Action,Adventure,Fantasy,Shounen",102,manga,1460,pg_13,"A-1 Pictures,Bridge",1059752,589756,119465,686985,54997,72295,125953
22049,Just Awake,https://cdn.myanimelist.net/images/anime/5/57897.jpg,,Just Awake,2012-05-07,2012-05-07,A frenzied mad dash across a bleak landscape commences as several beings engage in a Parkour style chase amid the intense and frenetic strains of 'Just Awake.',6.49,,10650,False,music,finished_airing,"Action,Music,Sci-Fi",1,original,220,g,,3282,1894,57,2752,25,65,382
22053,Gakkou no Kaidan (OVA),https://cdn.myanimelist.net/images/anime/8/65195.webp,,学校の怪談,2005-07-06,2009-08-15,"OVAs included in the August and September issues of Comic Bun Bun between 2005 and 2009. In 2005 and 2006, the anime came on VHS tapes. It switched to DVD in 2007.",6.36,8149,12713,False,ova,finished_airing,"Comedy,Horror,Mystery,Supernatural",10,mixed_media,600,pg_13,"Trinet Entertainment,WAO World,Studio Ranmaru",1799,428,82,735,51,90,841
22055,Gakkou no Kaidan Recaps,https://cdn.myanimelist.net/images/anime/12/78468.webp,Ghost Stories Recaps,学校の怪談　総集編,2000-11-15,2001-01-03,"A new year special where Momoko stars to remember some of the adventures, she has had with her friends.",6.17,9310,11339,False,tv_special,finished_airing,"Horror,Mystery,Supernatural",2,novel,1500,pg_13,Studio Pierrot,2703,802,132,1326,98,163,984
22057,"Inari, Konkon, Koi Iroha. Inari, Konkon, Semishigure.",https://cdn.myanimelist.net/images/anime/5/64903.jpg,Inari Kon Kon OVA,いなり、こんこん、恋いろは。いなり、コンコン、蝉しぐれ。,2014-06-26,2014-06-26,Unaired OVA bundled with limited edition eighth volume of the manga.  The episode centers around the actions of Inari and Kon.,6.86,5210,4694,False,ova,finished_airing,"Comedy,Mythology,Romance,Seinen,Supernatural",1,manga,1418,pg_13,Production IMS,27632,13925,529,20134,262,175,6531
22059,Kakumeiteki Broadway Shugisha Doumei,https://cdn.myanimelist.net/images/anime/5/57879.jpg,,革命的ブロードウェイ主義者同盟,2013-12-19,2013-12-19,"Music video for Kakumei-teki Broadway Shugisha Doumei, the lead song from Uesaka Sumire's first album of the same name.",5.15,,16325,False,music,finished_airing,Music,1,music,283,pg_13,,688,355,20,519,4,27,118
22065,T-Rex,https://cdn.myanimelist.net/images/anime/12/57903.jpg,The Adventures of T-Rex,T-レックス,1992-09-14,1993-01-23,"Set in a world of anthropomophic dinosaurs, brothers Bernie (blue), Bruno (pink), Bubba (green), Buck (yellow) and Bugsy (purple) were born with special powers to help fight crime.   Each brother's special power was related to a specific part of their anatomy; Bernie's legs, Bruno's arms, Bubba's tail, Buck's mouth and teeth, and Bugsy's telekinetic eyes.   The group rode out on their Rexmobile to battle “Big Boss” Graves, crime kingpin of Rep City (the show's setting), and his evil organization, The Corporation. Kid sister Ginger was part of the singing group, but didn’t know about her brothers’ secret identities.  (Source: Wikipedia)",,15454,18455,False,tv,finished_airing,"Action,Adventure,Comedy,Kids",52,,1500,g,,457,99,24,170,19,92,152
22069,Swing Out Sisters (2014),https://cdn.myanimelist.net/images/anime/1132/91740.webp,,Swing Out Sisters,2014-01-30,2014-01-30,"Yuuta has always been close to his elder sisters, Chiyo and Chinatsu. The only man in the house, he falls in love with the caring and affectionate Chiyo; with her well-endowed body and love of cosplay, she gives her brother everything an adolescent boy could dream of.  Envious of her siblings' intimate relationship, Chinatsu soon steps in, seeking Yuuta's attention. As a strong-willed and dominant tomboy, she is the exact opposite of Chiyo and starts picking on him and making aggressive sexual advances.  With the situation at home changing dramatically, the siblings must find a way to sort out both their private and school lives and establish a compromise between conflicting interests.  [Written by MAL Rewrite]",7.47,,5042,True,ova,finished_airing,Hentai,1,manga,3040,rx,Tryforce,23323,9389,1996,13549,839,698,6240
